2024-10-07 00:20:31,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17578,-0.49048,3.89624,0.73975,1.33594,-2.28516,9.66797,True,False,3.72952,0.19014
2024-10-07 00:20:32,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17773,-0.49805,3.89673,0.73193,1.33594,-2.25000,9.66797,True,False,3.69719,0.19014
2024-10-07 00:20:34,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17896,-0.49414,3.89868,0.72461,1.30078,-2.28516,9.70703,True,False,3.69719,0.18691
2024-10-07 00:20:35,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17749,-0.49072,3.89868,0.72656,1.33594,-2.28516,9.66797,True,False,3.72952,0.18691
2024-10-07 00:20:36,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17798,-0.49585,3.89746,0.72974,1.33594,-2.28516,9.66797,True,False,3.69397,0.18691
2024-10-07 00:20:38,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17651,-0.48267,3.90015,0.72437,1.33594,-2.28516,9.66797,True,False,3.69397,0.18691
2024-10-07 00:20:39,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17847,-0.49609,3.89722,0.73047,1.33594,-2.28516,9.66797,True,False,3.69719,0.18691
2024-10-07 00:20:40,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.18042,-0.50806,3.89502,0.73364,1.30078,-2.32422,9.66406,True,False,3.71663,0.18691
2024-10-07 00:20:41,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17407,-0.51099,3.88477,0.78516,1.33594,-2.32422,9.66406,True,False,3.68752,0.18369
2024-10-07 00:20:43,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17529,-0.50879,3.88843,0.76855,1.33594,-2.25000,9.70703,True,False,3.69397,0.18369
2024-10-07 00:20:44,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17603,-0.50879,3.88892,0.76563,1.33594,-2.28516,9.66797,True,False,3.68752,0.18369
2024-10-07 00:20:45,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17798,-0.49585,3.89551,0.73975,1.33594,-2.32422,9.62500,True,False,3.71663,0.18369
2024-10-07 00:20:47,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17773,-0.49634,3.89526,0.74146,1.33594,-2.28516,9.62891,True,False,3.69397,0.18369
2024-10-07 00:20:48,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17578,-0.47754,3.89990,0.72876,1.33594,-2.28516,9.66797,True,False,3.68430,0.18369
2024-10-07 00:20:49,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17529,-0.49756,3.89307,0.75195,1.41406,-2.32422,9.62500,True,False,3.70686,0.18369
2024-10-07 00:20:51,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17676,-0.48755,3.89746,0.73584,1.33594,-2.28516,9.62891,True,False,3.68430,0.18047
2024-10-07 00:20:52,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17700,-0.50391,3.89209,0.75195,1.33594,-2.28516,9.66797,True,False,3.68430,0.18047
2024-10-07 00:20:53,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17725,-0.50244,3.89307,0.74854,1.33594,-2.25000,9.66797,True,False,3.68430,0.18047
2024-10-07 00:20:55,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17725,-0.50659,3.89063,0.75830,1.33594,-2.28516,9.66797,True,False,3.70041,0.18047
2024-10-07 00:20:56,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17725,-0.50439,3.89136,0.75537,1.30078,-2.25000,9.66797,True,False,3.68430,0.18047
2024-10-07 00:20:57,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17554,-0.50049,3.89136,0.75854,1.33594,-2.25000,9.70703,True,False,3.72952,0.18047
2024-10-07 00:20:58,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17578,-0.50049,3.89160,0.75757,1.33594,-2.25000,9.70703,True,False,3.68430,0.18047
2024-10-07 00:21:00,{'Running': 1, 'Unknown': 1, 'Tilting': 0, 'On-Foot': 2, 'In-Vehicle': 1, 'Still': 97, 'Walking': 1, 'most_likely': 'Still', 'On-Bicycle': 0, 'OnStairs': 0},On Table,False,0,0.17725,-0.49951,3.89429,0.74365,1.33594,-2.25000,9.66797,True,False,3.71663,0.18047
